
Player		Team	born	Height	Position
Tom Davies	Everton FC	Everton FC	30/06/1998	180 cm	MF
Lucas Digne	Everton FC	Everton FC	20/07/1993	178 cm	DF
Kieran Dowell	Everton FC	Everton FC	10/10/1997	183 cm	MF
Brendan Galloway	Everton FC	Everton FC	17/03/1996	188 cm	DF
Idrissa Gueye	Everton FC	Everton FC	26/09/1989	174 cm	MF
Mason Holgate	Everton FC	Everton FC	22/10/1996	181 cm	DF
Phil Jagielka	Everton FC	Everton FC	17/08/1982	180 cm	DF
João Virginia	Everton FC	Everton FC	10/10/1999	191 cm	GK
Michael Keane	Everton FC	Everton FC	11/01/1993	188 cm	DF
Jonjoe Kenny	Everton FC	Everton FC	15/03/1997	176 cm	DF
Ademola Lookman	Everton FC	Everton FC	20/10/1998	174 cm	FW
James McCarthy	Everton FC	Everton FC	12/11/1990	180 cm	MF
Yerry Mina	Everton FC	Everton FC	23/09/1994	195 cm	DF
Oumar Niasse	Everton FC	Everton FC	18/04/1990	188 cm	FW
Jordan Pickford	Everton FC	Everton FC	07/03/1994	185 cm	GK
Richarlison	Everton FC	Everton FC	10/05/1997	179 cm	FW
Morgan Schneiderlin	Everton FC	Everton FC	08/11/1989	181 cm	MF
Gylfi Sigurðsson	Everton FC	Everton FC	08/09/1989	186 cm	MF
Maarten Stekelenburg	Everton FC	Everton FC	22/09/1982	196 cm	GK
Cenk Tosun	Everton FC	Everton FC	07/06/1991	183 cm	FW
Theo Walcott	Everton FC	Everton FC	16/03/1989	170 cm	FW
Kurt Zouma	Everton FC	Everton FC	27/10/1994	190 cm	DF
Floyd Ayité	Fulham FC	Fulham FC	15/12/1988	174 cm	FW
Marcus Bettinelli	Fulham FC	Fulham FC	24/05/1992	192 cm	GK
Joe Bryan	Fulham FC	Fulham FC	17/09/1993	170 cm	DF
Tom Cairney	Fulham FC	Fulham FC	20/01/1991	182 cm	MF
Calum Chambers	Fulham FC	Fulham FC	20/01/1995	182 cm	DF
Cyrus Christie	Fulham FC	Fulham FC	30/09/1992	188 cm	DF
Ibrahima Cissé	Fulham FC	Fulham FC	28/02/1994	184 cm	MF
Luca de la Torre	Fulham FC	Fulham FC	23/05/1998	177 cm	MF
Fabricio	Fulham FC	Fulham FC	31/12/1987	185 cm	GK
Timothy Fosu-Mensah	Fulham FC	Fulham FC	02/01/1998	190 cm	DF
Stefan Johansen	Fulham FC	Fulham FC	08/01/1991	182 cm	MF
Aboubakar Kamara	Fulham FC	Fulham FC	07/03/1995	178 cm	FW
Neeskens Kebano	Fulham FC	Fulham FC	10/03/1992	172 cm	MF
Maxime Le Marchand	Fulham FC	Fulham FC	11/10/1989	185 cm	DF
Alfie Mawson	Fulham FC	Fulham FC	19/01/1994	188 cm	DF
Kevin McDonald	Fulham FC	Fulham FC	04/11/1988	188 cm	MF
Aleksandar Mitrović	Fulham FC	Fulham FC	16/09/1994	189 cm	FW
Matthew O'Riley	Fulham FC	Fulham FC	21/11/2000	187 cm	MF
Denis Odoi	Fulham FC	Fulham FC	27/05/1988	178 cm	DF
Tim Ream	Fulham FC	Fulham FC	05/10/1987	185 cm	DF
André Schürrle	Fulham FC	Fulham FC	06/11/1990	184 cm	FW
Sergio Rico	Fulham FC	Fulham FC	01/09/1993	194 cm	GK
Jean Michaël Seri	Fulham FC	Fulham FC	19/07/1991	168 cm	MF
Ryan Sessegnon	Fulham FC	Fulham FC	18/05/2000	178 cm	FW
Steven Sessegnon	Fulham FC	Fulham FC	18/05/2000	178 cm	DF
Luciano Vietto	Fulham FC	Fulham FC	05/12/1993	173 cm	FW
André Zambo	Fulham FC	Fulham FC	16/11/1995	184 cm	MF
Juninho Bacuna	Huddersfield Town	Huddersfield Town	07/08/1997	178 cm	MF
Philip Billing	Huddersfield Town	Huddersfield Town	11/06/1996	193 cm	MF
Laurent Depoitre	Huddersfield Town	Huddersfield Town	07/12/1988	191 cm	FW
Adama Diakhaby	Huddersfield Town	Huddersfield Town	05/07/1996	184 cm	FW
Erik Durm	Huddersfield Town	Huddersfield Town	12/05/1992	183 cm	DF
Jon Gorenc Stankovič	Huddersfield Town	Huddersfield Town	14/01/1996	190 cm	DF
Florent Hadergjonaj	Huddersfield Town	Huddersfield Town	31/07/1994	182 cm	DF
Ben Hamer	Huddersfield Town	Huddersfield Town	20/11/1987	193 cm	GK
Jonathan Hogg	Huddersfield Town	Huddersfield Town	06/12/1988	177 cm	MF
Mathias Jørgensen	Huddersfield Town	Huddersfield Town	23/04/1990	191 cm	DF
Elias Kachunga	Huddersfield Town	Huddersfield Town	22/04/1992	176 cm	FW
Terence Kongolo	Huddersfield Town	Huddersfield Town	14/02/1994	188 cm	DF
Jonas Lössl	Huddersfield Town	Huddersfield Town	01/02/1989	195 cm	GK
Chris Löwe	Huddersfield Town	Huddersfield Town	16/04/1989	175 cm	DF
Isaac Mbenza	Huddersfield Town	Huddersfield Town	08/03/1996	187 cm	FW
Aaron Mooy	Huddersfield Town	Huddersfield Town	15/09/1989	179 cm	MF
Steve Mounié	Huddersfield Town	Huddersfield Town	29/09/1994	190 cm	FW
Alex Pritchard	Huddersfield Town	Huddersfield Town	03/05/1993	168 cm	MF
Collin Quaner	Huddersfield Town	Huddersfield Town	18/06/1991	191 cm	FW
Abdelhamid Sabiri	Huddersfield Town	Huddersfield Town	28/11/1996	186 cm	MF
Christopher Schindler	Huddersfield Town	Huddersfield Town	29/04/1990	188 cm	DF
Ryan Schofield	Huddersfield Town	Huddersfield Town	11/12/1999	190 cm	GK
Tom Smith	Huddersfield Town	Huddersfield Town	14/04/1992	186 cm	DF
Ramadan Sobhi	Huddersfield Town	Huddersfield Town	23/01/1997	183 cm	MF
Rajiv van La Parra	Huddersfield Town	Huddersfield Town	04/06/1991	181 cm	MF
Daniel Williams	Huddersfield Town	Huddersfield Town	08/03/1989	182 cm	MF
Adrien Silva	Leicester City	Leicester City	15/03/1989	175 cm	MF
Marc Albrighton	Leicester City	Leicester City	18/11/1989	175 cm	MF
Daniel Amartey	Leicester City	Leicester City	21/12/1994	183 cm	DF
Yohan Benalouane	Leicester City	Leicester City	28/03/1987	185 cm	DF
Ben Chilwell	Leicester City	Leicester City	21/12/1996	187 cm	DF
Hamza Choudhury	Leicester City	Leicester City	01/10/1997	178 cm	MF
Fousséni Diabaté	Leicester City	Leicester City	18/10/1995	175 cm	FW
Callum Elder	Leicester City	Leicester City	27/01/1995	180 cm	DF
Jonny Evans	Leicester City	Leicester City	03/01/1988	189 cm	DF
Christian Fuchs	Leicester City	Leicester City	07/04/1986	186 cm	DF
Rachid Ghezzal	Leicester City	Leicester City	09/05/1992	182 cm	FW
Demarai Gray	Leicester City	Leicester City	28/06/1996	179 cm	MF
Iborra	Leicester City	Leicester City	16/01/1988	190 cm	MF
Kelechi Iheanacho	Leicester City	Leicester City	03/10/1996	185 cm	FW
Eldin Jakupović	Leicester City	Leicester City	02/10/1984	191 cm	GK
Matty James	Leicester City	Leicester City	22/07/1991	178 cm	MF
Andy King	Leicester City	Leicester City	29/10/1988	183 cm	MF
James Maddison	Leicester City	Leicester City	23/11/1996	179 cm	MF
Harry Maguire	Leicester City	Leicester City	05/03/1993	194 cm	DF
Nampalys Mendy	Leicester City	Leicester City	23/06/1992	167 cm	MF
Wes Morgan	Leicester City	Leicester City	21/01/1984	186 cm	DF
Wilfred Ndidi	Leicester City	Leicester City	16/12/1996	187 cm	MF
Shinji Okazaki	Leicester City	Leicester City	16/04/1986	173 cm	FW
Ricardo Pereira	Leicester City	Leicester City	06/10/1993	175 cm	MF
Kasper Schmeichel	Leicester City	Leicester City	05/11/1986	185 cm	GK
Danny Simpson	Leicester City	Leicester City	04/01/1987	173 cm	DF
Çağlar Söyüncü	Leicester City	Leicester City	23/05/1996	187 cm	DF
Jamie Vardy	Leicester City	Leicester City	11/01/1987	178 cm	FW
Danny Ward	Leicester City	Leicester City	22/06/1993	191 cm	GK
Alberto Moreno	Liverpool FC	Liverpool FC	05/07/1992	172 cm	DF
Trent Alexander-Arnold	Liverpool FC	Liverpool FC	07/10/1998	175 cm	DF
Alisson	Liverpool FC	Liverpool FC	02/10/1992	191 cm	GK
Nathaniel Clyne	Liverpool FC	Liverpool FC	05/04/1991	175 cm	DF
Fabinho	Liverpool FC	Liverpool FC	23/10/1993	188 cm	MF
Joe Gomez	Liverpool FC	Liverpool FC	23/05/1997	188 cm	DF
Kamil Grabara	Liverpool FC	Liverpool FC	08/01/1999	194 cm	GK
Jordan Henderson	Liverpool FC	Liverpool FC	17/06/1990	185 cm	MF
Curtis Jones	Liverpool FC	Liverpool FC	30/01/2001	185 cm	MF
Naby Keïta	Liverpool FC	Liverpool FC	10/02/1995	172 cm	MF
Adam Lallana	Liverpool FC	Liverpool FC	10/05/1988	173 cm	MF
Dejan Lovren	Liverpool FC	Liverpool FC	05/07/1989	188 cm	DF
Sadio Mané	Liverpool FC	Liverpool FC	10/04/1992	175 cm	FW
Lazar Marković	Liverpool FC	Liverpool FC	02/03/1994	175 cm	MF
Joel Matip	Liverpool FC	Liverpool FC	08/08/1991	193 cm	DF
Simon Mignolet	Liverpool FC	Liverpool FC	06/03/1988	193 cm	GK
James Milner	Liverpool FC	Liverpool FC	04/01/1986	176 cm	MF
Divock Origi	Liverpool FC	Liverpool FC	18/04/1995	185 cm	FW
Alex Oxlade-Chamberlain	Liverpool FC	Liverpool FC	15/08/1993	175 cm	MF
Connor Randall	Liverpool FC	Liverpool FC	21/10/1995	180 cm	DF
Roberto Firmino	Liverpool FC	Liverpool FC	02/10/1991	181 cm	FW
Andrew Robertson	Liverpool FC	Liverpool FC	11/03/1994	178 cm	DF
Mohamed Salah	Liverpool FC	Liverpool FC	15/06/1992	175 cm	FW
Xherdan Shaqiri	Liverpool FC	Liverpool FC	10/10/1991	169 cm	FW
Dominic Solanke	Liverpool FC	Liverpool FC	14/09/1997	187 cm	FW
Daniel Sturridge	Liverpool FC	Liverpool FC	01/09/1989	180 cm	FW
Virgil van Dijk	Liverpool FC	Liverpool FC	08/07/1991	193 cm	DF
Georginio Wijnaldum	Liverpool FC	Liverpool FC	11/11/1990	173 cm	MF
Adrián Bernabé	Manchester City	Manchester City	26/05/2001	???	MF
Kun Agüero	Manchester City	Manchester City	02/06/1988	172 cm	FW
Bernardo Silva	Manchester City	Manchester City	10/08/1994	173 cm	FW
Brahim Díaz	Manchester City	Manchester City	03/08/1999	170 cm	MF
Claudio Bravo	Manchester City	Manchester City	13/04/1983	185 cm	GK
Danilo	Manchester City	Manchester City	15/07/1991	184 cm	DF
David Silva	Manchester City	Manchester City	08/01/1986	170 cm	MF
Kevin De Bruyne	Manchester City	Manchester City	28/06/1991	181 cm	MF
Fabian Delph	Manchester City	Manchester City	21/11/1989	174 cm	DF
Ederson	Manchester City	Manchester City	17/08/1993	188 cm	GK
